,precision,recall
0,0.0,0.0
1,0.8632210901006726,0.010101010101010102
2,0.8644021914947411,0.020202020202020204
3,0.8654453936244136,0.030303030303030304
4,0.8661906295948537,0.04040404040404041
5,0.8669251216502257,0.05050505050505051
6,0.8675978256177661,0.06060606060606061
7,0.8683727381450702,0.07070707070707072
8,0.869040653071066,0.08080808080808081
9,0.8697072140002824,0.09090909090909091
10,0.8702828191055473,0.10101010101010102
11,0.8708431759109004,0.11111111111111112
12,0.8713753978683673,0.12121212121212122
13,0.8718379958824396,0.13131313131313133
14,0.8723675114286402,0.14141414141414144
15,0.8728615597752903,0.15151515151515152
16,0.8733272349366639,0.16161616161616163
17,0.8738482082197104,0.17171717171717174
18,0.8743214230039109,0.18181818181818182
19,0.8747569910066023,0.19191919191919193
20,0.8751736485373465,0.20202020202020204
21,0.8755575881086086,0.21212121212121213
22,0.8759377914493207,0.22222222222222224
23,0.8763194592296122,0.23232323232323235
24,0.876714934829718,0.24242424242424243
25,0.8771149745678487,0.25252525252525254
26,0.8774645894732825,0.26262626262626265
27,0.8778140050175618,0.27272727272727276
28,0.8781176636129995,0.2828282828282829
29,0.8784311087797034,0.29292929292929293
30,0.8787393782767849,0.30303030303030304
31,0.8790409662853343,0.31313131313131315
32,0.8793041645833813,0.32323232323232326
33,0.8795579336983426,0.33333333333333337
34,0.879812559606533,0.3434343434343435
35,0.8800547961756952,0.3535353535353536
36,0.8802813105761266,0.36363636363636365
37,0.8804919033010676,0.37373737373737376
38,0.8806716040233357,0.38383838383838387
39,0.8808274354481802,0.393939393939394
40,0.8810050944235441,0.4040404040404041
41,0.8811677526475548,0.4141414141414142
42,0.8813334393822976,0.42424242424242425
43,0.8814728273479594,0.43434343434343436
44,0.8816194698456115,0.4444444444444445
45,0.8817582494883749,0.4545454545454546
46,0.8818705950721069,0.4646464646464647
47,0.8819532394707831,0.4747474747474748
48,0.8820623421847734,0.48484848484848486
49,0.8821344008523956,0.494949494949495
50,0.8822136628573838,0.5050505050505051
51,0.882271648265036,0.5151515151515152
52,0.8823313572195803,0.5252525252525253
53,0.8823735428373809,0.5353535353535354
54,0.8824120894550536,0.5454545454545455
55,0.8824355962679121,0.5555555555555556
56,0.8824218977972039,0.5656565656565657
57,0.8824104356321784,0.5757575757575758
58,0.8824171925967991,0.5858585858585859
59,0.8823935710295022,0.595959595959596
60,0.8823764072590413,0.6060606060606061
61,0.8823167531695534,0.6161616161616162
62,0.8822469014476153,0.6262626262626263
63,0.8821426106697978,0.6363636363636365
64,0.8820160661807768,0.6464646464646465
65,0.8819273173800237,0.6565656565656566
66,0.8817856336877002,0.6666666666666667
67,0.8816567984831494,0.6767676767676768
68,0.8815025348018624,0.686868686868687
69,0.8813114249033323,0.696969696969697
70,0.8811000123250762,0.7070707070707072
71,0.880885835921953,0.7171717171717172
72,0.8806341459037759,0.7272727272727273
73,0.8803758914415264,0.7373737373737375
74,0.8800773604292891,0.7474747474747475
75,0.8797621773735882,0.7575757575757577
76,0.8794152939900939,0.7676767676767677
77,0.8790548085430223,0.7777777777777778
78,0.878640062452616,0.787878787878788
79,0.8782030306732247,0.797979797979798
80,0.8777218705511186,0.8080808080808082
81,0.8772136409922638,0.8181818181818182
82,0.8766599304861346,0.8282828282828284
83,0.8760365194925482,0.8383838383838385
84,0.8753608240171424,0.8484848484848485
85,0.8746104785746355,0.8585858585858587
86,0.8738007187480862,0.8686868686868687
87,0.8729181241584493,0.8787878787878789
88,0.8719165791294794,0.888888888888889
89,0.8707999983028845,0.8989898989898991
90,0.8695520886253459,0.9090909090909092
91,0.8681230870928311,0.9191919191919192
92,0.8664117227875867,0.9292929292929294
93,0.8645000068596462,0.9393939393939394
94,0.8621852451002046,0.9494949494949496
95,0.8593533442637544,0.9595959595959597
96,0.85561999308765,0.9696969696969697
97,0.8502606407782979,0.9797979797979799
98,0.8407638223272427,0.98989898989899
99,0.7516406733119363,1.0
