,precision,recall
0,0.0,0.0
1,0.7065395978040524,0.010101010101010102
2,0.7110397505294852,0.020202020202020204
3,0.7088041764046049,0.030303030303030304
4,0.7111011659478174,0.04040404040404041
5,0.7114179458838942,0.05050505050505051
6,0.7115959387216659,0.06060606060606061
7,0.7113994289990335,0.07070707070707072
8,0.710620383846341,0.08080808080808081
9,0.7105196450389277,0.09090909090909091
10,0.7101184982109915,0.10101010101010102
11,0.7099101165830788,0.11111111111111112
12,0.7099211951630289,0.12121212121212122
13,0.7098044340065744,0.13131313131313133
14,0.7097676812113652,0.14141414141414144
15,0.7103132995693103,0.15151515151515152
16,0.710284420046488,0.16161616161616163
17,0.7107648486973429,0.17171717171717174
18,0.7108868104800595,0.18181818181818182
19,0.7111272149067833,0.19191919191919193
20,0.7112926260333222,0.20202020202020204
21,0.7111586364944151,0.21212121212121213
22,0.7112173740456508,0.22222222222222224
23,0.7112837330350191,0.23232323232323235
24,0.7112871241431389,0.24242424242424243
25,0.7110727463215881,0.25252525252525254
26,0.710804027238488,0.26262626262626265
27,0.7106713354748428,0.27272727272727276
28,0.7104173940879688,0.2828282828282829
29,0.7101633034718429,0.29292929292929293
30,0.70979167740987,0.30303030303030304
31,0.7092591375752952,0.31313131313131315
32,0.7088936182526079,0.32323232323232326
33,0.7082627763522981,0.33333333333333337
34,0.7078796638469594,0.3434343434343435
35,0.707209211039113,0.3535353535353536
36,0.7066296491923477,0.36363636363636365
37,0.7058474835087026,0.37373737373737376
38,0.7052154209910348,0.38383838383838387
39,0.7043820757995888,0.393939393939394
40,0.7036351945886734,0.4040404040404041
41,0.7027322850487284,0.4141414141414142
42,0.7016347031076062,0.42424242424242425
43,0.7007833486801219,0.43434343434343436
44,0.699907842375587,0.4444444444444445
45,0.6986777196391107,0.4545454545454546
46,0.6975750253762396,0.4646464646464647
47,0.6960677760514148,0.4747474747474748
48,0.6948194592504208,0.48484848484848486
49,0.6936879956051208,0.494949494949495
50,0.6923799963376492,0.5050505050505051
51,0.6909115369133797,0.5151515151515152
52,0.6891459778352731,0.5252525252525253
53,0.6874010225196459,0.5353535353535354
54,0.6856089275233185,0.5454545454545455
55,0.6833436921331844,0.5555555555555556
56,0.681107817690657,0.5656565656565657
57,0.6788374784917444,0.5757575757575758
58,0.6759676251294391,0.5858585858585859
59,0.6734495976174569,0.595959595959596
60,0.6704105103116632,0.6060606060606061
61,0.667457525168918,0.6161616161616162
62,0.6641140349569107,0.6262626262626263
63,0.6604980822463737,0.6363636363636365
64,0.6569029297658638,0.6464646464646465
65,0.6533437199784923,0.6565656565656566
66,0.6497872979682778,0.6666666666666667
67,0.6455283178108726,0.6767676767676768
68,0.6411464096662259,0.686868686868687
69,0.6366382749184952,0.696969696969697
70,0.6319974498800843,0.7070707070707072
71,0.6267311466434108,0.7171717171717172
72,0.6212087537002696,0.7272727272727273
73,0.6155085241049512,0.7373737373737375
74,0.6084495938737624,0.7474747474747475
75,0.6019412733908458,0.7575757575757577
76,0.5951562132237261,0.7676767676767677
77,0.586869072882586,0.7777777777777778
78,0.5783070870980378,0.787878787878788
79,0.5697437430196892,0.797979797979798
80,0.5597519239653835,0.8080808080808082
81,0.549823986280474,0.8181818181818182
82,0.54004148472669,0.8282828282828284
83,0.5301358855612344,0.8383838383838385
84,0.5185507291915458,0.8484848484848485
85,0.506555806021811,0.8585858585858587
86,0.49253491467696475,0.8686868686868687
87,0.47728890913862554,0.8787878787878789
88,0.46277013193458905,0.888888888888889
89,0.4466886643075203,0.8989898989898991
90,0.42896129880230216,0.9090909090909092
91,0.4115851510415546,0.9191919191919192
92,0.3912019000020822,0.9292929292929294
93,0.36604895997333176,0.9393939393939394
94,0.3369620858903344,0.9494949494949496
95,0.3090403907056889,0.9595959595959597
96,0.2788710026148005,0.9696969696969697
97,0.24444998544112945,0.9797979797979799
98,0.20112242863587607,0.98989898989899
99,0.10010496399529868,1.0
