Unnamed: 0,precision,recall
0,0.0,0.0
1,0.4823016813978336,0.0101010101010101
2,0.4787908603026192,0.0202020202020202
3,0.4793423683585833,0.0303030303030303
4,0.4769689307960216,0.0404040404040404
5,0.4758029673656294,0.0505050505050505
6,0.474332959219239,0.0606060606060606
7,0.4750604850494175,0.0707070707070707
8,0.4765277628240225,0.0808080808080808
9,0.4777264429546989,0.0909090909090909
10,0.4759371440827136,0.101010101010101
11,0.4721676974507265,0.1111111111111111
12,0.4682204340156864,0.1212121212121212
13,0.4661490574323207,0.1313131313131313
14,0.4647570803566416,0.1414141414141414
15,0.4631257930297691,0.1515151515151515
16,0.4618964200209692,0.1616161616161616
17,0.4609732968309066,0.1717171717171717
18,0.4596175169559051,0.1818181818181818
19,0.4583925745509223,0.1919191919191919
20,0.4571833546634191,0.202020202020202
21,0.4556904831021163,0.2121212121212121
22,0.4546352460607688,0.2222222222222222
23,0.4536313682662154,0.2323232323232323
24,0.4525850651151169,0.2424242424242424
25,0.4517889869844101,0.2525252525252525
26,0.4509782775032697,0.2626262626262626
27,0.4503088563077994,0.2727272727272727
28,0.4496273930784794,0.2828282828282829
29,0.4482214239344,0.2929292929292929
30,0.4466765585451913,0.303030303030303
31,0.4450433616102492,0.3131313131313131
32,0.4430858343468084,0.3232323232323232
33,0.4403679967291632,0.3333333333333333
34,0.4387402815667852,0.3434343434343435
35,0.4377362796193986,0.3535353535353536
36,0.4375951214228803,0.3636363636363636
37,0.4372253789213712,0.3737373737373737
38,0.4364663400376994,0.3838383838383838
39,0.4358020233109744,0.393939393939394
40,0.4352933146897467,0.4040404040404041
41,0.4348836779340519,0.4141414141414142
42,0.4343649247174305,0.4242424242424242
43,0.4338571440066411,0.4343434343434343
44,0.4332570999830226,0.4444444444444445
45,0.4325277570664416,0.4545454545454546
46,0.4319034182019602,0.4646464646464647
47,0.4312155754947829,0.4747474747474748
48,0.4305321697269539,0.4848484848484848
49,0.4298141929487138,0.494949494949495
50,0.429155497600516,0.5050505050505051
51,0.4285707664205506,0.5151515151515152
52,0.4280077854317518,0.5252525252525253
53,0.4274133007076997,0.5353535353535354
54,0.4265719139182427,0.5454545454545455
55,0.4256710383594008,0.5555555555555556
56,0.424626907284567,0.5656565656565657
57,0.4234619247791149,0.5757575757575758
58,0.4223228334530015,0.5858585858585859
59,0.4214555203478486,0.595959595959596
60,0.4207572830279532,0.6060606060606061
61,0.4200919779060421,0.6161616161616162
62,0.4194072894979292,0.6262626262626263
63,0.4188163095467288,0.6363636363636365
64,0.4180235104333041,0.6464646464646465
65,0.4171430160010371,0.6565656565656566
66,0.4162905653651167,0.6666666666666667
67,0.4156261845334882,0.6767676767676768
68,0.4150653176012016,0.686868686868687
69,0.4147254876642963,0.696969696969697
70,0.4144166088359569,0.7070707070707072
71,0.41385333681192,0.7171717171717172
72,0.4135099073113824,0.7272727272727273
73,0.413144340020147,0.7373737373737375
74,0.4128362634453063,0.7474747474747475
75,0.4124879855698507,0.7575757575757577
76,0.412250917331485,0.7676767676767677
77,0.4120838765113459,0.7777777777777778
78,0.4118193855470913,0.787878787878788
79,0.4116005982924394,0.797979797979798
80,0.411445003535877,0.8080808080808082
81,0.4112931784097741,0.8181818181818182
82,0.4112076620978921,0.8282828282828284
83,0.4111514773135439,0.8383838383838385
84,0.411227057916428,0.8484848484848485
85,0.4112848873013036,0.8585858585858587
86,0.4111659138225237,0.8686868686868687
87,0.4114533340958323,0.8787878787878789
88,0.4115934150067244,0.888888888888889
89,0.4112923602826771,0.8989898989898991
90,0.4108158857722276,0.9090909090909092
91,0.4097988980564946,0.9191919191919192
92,0.408314345290026,0.9292929292929294
93,0.4064851556739501,0.9393939393939394
94,0.4035463400143956,0.9494949494949496
95,0.3990687225407756,0.9595959595959596
96,0.3934260143369142,0.9696969696969696
97,0.3862295422278372,0.97979797979798
98,0.3777637406351932,0.98989898989899
99,0.3641721439607389,1.0
