bits,map,p@k_1,p@k_2,p@k_3,p@0,p@1,p@2,p@3
12.0,0.002715738397334635,0.0017377139999999998,0.0012866356,0.0010661792,0.002162928452445297,0.002162928452445297,0.0016830691480432456,0.0016830691480432456
24.0,0.004214465076733379,0.0017312799999999998,0.0012669256,0.0010721782,0.004029259199937051,0.004029259199937051,0.0025916326019421267,0.0025916326019421267
32.0,0.003142541261492564,0.001788794,0.0012757388,0.0010701171999999998,0.003152521826083364,0.003152521826083364,0.0027893285285740723,0.0027893285285740723
48.0,0.0039018273514423753,0.001842994,0.0013105892,0.0010872904,0.00271472207646814,0.00271472207646814,0.00404291338664333,0.00404291338664333
