bits,map,p@k_1,p@k_2,p@k_3,p@0,p@1,p@2,p@3
12.0,0.003380320360748985,0.0017708420000000001,0.0012618756,0.0010774448,0.0,0.0,2e-05,0.0009005062157840309
24.0,0.0039501488458678945,0.0018683859999999999,0.0013072348,0.0010855786,0.0,0.0,0.0,4e-05
32.0,0.00470209994124133,0.0019115,0.0013589104,0.0010914705999999998,0.0,0.0,0.0,0.0
48.0,0.0049044239080994955,0.001922878,0.0013939716000000001,0.0011142078000000001,0.0,0.0,0.0,0.0
