bits,map,p@k_1,p@k_2,p@k_3,p@0,p@1,p@2,p@3
12.0,0.0038924639822424684,0.001530938,0.0011862616,0.0010532202,0.0,0.0,0.0,4e-05
24.0,0.004130715418793456,0.0014219640000000002,0.0011364308,0.0010375412,0.0,0.0,0.0,0.0
32.0,0.004388148172268744,0.001432272,0.0011372612000000002,0.0010356623999999998,0.0,0.0,0.0,0.0
48.0,0.004231985862917995,0.001456754,0.0011398984,0.0010356548,0.0,0.0,0.0,0.0
