bits,map,p@k_1,p@k_2,p@k_3,p@0,p@1,p@2,p@3
12.0,0.0031849952309115515,0.001902372,0.0012225911999999997,0.0010693044,0.0024089548915175838,0.0021843440417607203,0.002067825127153101,0.0019313950454564052
24.0,0.003026173472789548,0.001661762,0.0011255872,0.0010143176,0.002290280596237101,0.0022905554676266554,0.0022717423475806108,0.0022681177892497867
32.0,0.00319924601377406,0.0016761260000000002,0.0011124256,0.0010126444,0.0022924041877618218,0.002252616441551597,0.0023473396797279488,0.002368847117338757
48.0,0.0031685255185089473,0.0015302460000000003,0.0011473540000000002,0.0010457840000000001,0.00226509947732501,0.0023249422035159363,0.0023749393461496996,0.002446261803313557
