bits,map,p@k_1,p@k_2,p@k_3,p@0,p@1,p@2,p@3
12.0,0.0011532438119291203,0.0010174239999999998,0.0010128539999999999,0.0010053566,0.0,0.0010137060782538577,0.0010114728355623565,0.0010075410385172161
24.0,0.0012071766027740253,0.001032284,0.0010125676000000002,0.0010053174,0.0,0.0010606933811933051,0.0010281668559410234,0.0010090984989199068
32.0,0.0011474384797975263,0.001013618,0.0010079747999999999,0.0010032958,0.0,0.001020883194300781,0.0010087364656601694,0.0010059214902714702
48.0,0.001484916872616893,0.001218472,0.0010746007999999998,0.0010218288,0.0,0.0013897910322707245,0.0015630694696214386,0.001562115570530657
